,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
149,-38.41142,-73.14291999999999,324.07,1.35,1.15,2021-12-27,359,T,100,6.1NRT,289.56,34.86,N
150,-38.41434,-73.15865,304.89,1.34,1.15,2021-12-27,359,T,12,6.1NRT,288.91,9.9,N
151,-38.40619,-73.1499,328.97,1.35,1.15,2021-12-27,359,T,100,6.1NRT,290.0,41.17,N
152,-38.39589,-73.15276999999999,336.37,1.35,1.15,2021-12-27,359,T,100,6.1NRT,291.09,58.12,N
153,-38.38029,-73.12659000000001,327.73,1.35,1.15,2021-12-27,359,T,100,6.1NRT,291.17,40.94,N
154,-38.3831,-73.14206999999999,354.74,1.35,1.15,2021-12-27,359,T,100,6.1NRT,296.01,112.86,N
155,-38.38595,-73.15775,345.4,1.35,1.15,2021-12-27,359,T,100,6.1NRT,293.58,81.38,N
156,-38.3703,-73.13134000000001,346.72,1.35,1.15,2021-12-27,359,T,100,6.1NRT,292.16,87.7,N
157,-38.373129999999996,-73.14684,382.17,1.35,1.15,2021-12-27,359,T,100,6.1NRT,299.07,252.44,N
158,-38.37597,-73.16242,357.06,1.35,1.15,2021-12-27,359,T,100,6.1NRT,292.53,121.67,N
159,-38.35999,-73.13421,326.43,1.35,1.15,2021-12-27,359,T,100,6.1NRT,290.2,40.31,N
160,-38.36285,-73.14983000000001,339.36,1.35,1.15,2021-12-27,359,T,100,6.1NRT,290.89,67.69,N
161,-38.07372,-72.59534000000001,334.48,1.46,1.19,2021-12-27,359,T,100,6.1NRT,291.19,63.26,N
162,-38.07669,-72.61108,304.27,1.46,1.19,2021-12-27,359,T,59,6.1NRT,289.09,12.21,N
163,-38.0341,-72.6236,307.56,1.46,1.19,2021-12-27,359,T,11,6.1NRT,289.15,13.35,N
164,-38.029270000000004,-72.61359,318.73,1.46,1.19,2021-12-27,359,T,47,6.1NRT,290.83,27.2,N
165,-38.01242,-72.58358,321.07,1.46,1.2,2021-12-27,359,T,98,6.1NRT,289.64,32.64,N
166,-37.99127,-72.59104,313.68,1.46,1.2,2021-12-27,359,T,61,6.1NRT,290.61,20.87,N
167,-37.99416,-72.60633,328.49,1.46,1.19,2021-12-27,359,T,100,6.1NRT,291.92,46.52,N
168,-37.99287,-72.65924,305.45,1.45,1.19,2021-12-27,359,T,46,6.1NRT,289.55,11.97,N
169,-37.97159,-72.6655,311.85,1.45,1.19,2021-12-27,359,T,23,6.1NRT,290.77,17.65,N
170,-37.95795,-72.65285,343.7,1.46,1.19,2021-12-27,359,T,100,6.1NRT,291.77,85.99,N
171,-37.96096,-72.66868000000001,326.47,1.45,1.19,2021-12-27,359,T,100,6.1NRT,291.05,42.0,N
