latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-20.22846,-40.23332,308.12,0.59,0.53,2021-12-27,0319,1,nominal,2.0NRT,291.91,1.46,N
-20.23099,-40.24576,309.22,0.59,0.53,2021-12-27,0319,1,nominal,2.0NRT,291.99,2.46,N
-20.23327,-40.23447,318.57,0.59,0.53,2021-12-27,0319,1,nominal,2.0NRT,293.08,2.82,N
-20.23441,-40.22885,304.88,0.59,0.53,2021-12-27,0319,1,nominal,2.0NRT,292.72,1.55,N
-20.23694,-40.24129,311.84,0.59,0.53,2021-12-27,0319,1,nominal,2.0NRT,291.7,2.82,N
-20.22999,-40.24075,306.99,0.59,0.53,2021-12-27,0319,1,nominal,2.0NRT,291.51,2.76,N
-20.23117,-40.23514,319.75,0.59,0.53,2021-12-27,0319,1,nominal,2.0NRT,293.51,3.17,N
-20.23234,-40.22953,311.78,0.59,0.53,2021-12-27,0319,1,nominal,2.0NRT,293.61,3.17,N
-20.2396,-40.24308,343.67,0.59,0.53,2021-12-27,0319,1,nominal,2.0NRT,294.86,4.68,N
-20.23842,-40.2487,304.45,0.59,0.53,2021-12-27,0319,1,nominal,2.0NRT,291.4,4.68,N
-20.24441,-40.24421,317.69,0.59,0.53,2021-12-27,0319,1,nominal,2.0NRT,291.7,4.68,N
-20.24922,-40.24537,339.36,0.59,0.53,2021-12-27,0319,1,nominal,2.0NRT,291.7,7.22,N
-19.82288,-43.13247,327.85,0.46,0.64,2021-12-27,0319,1,nominal,2.0NRT,285.43,2.53,N
-19.82375,-43.12852,307.05,0.46,0.64,2021-12-27,0319,1,nominal,2.0NRT,286.28,2.53,N
-19.82224,-43.13017,342.36,0.46,0.64,2021-12-27,0319,1,nominal,2.0NRT,286.29,4.55,N
-19.82797,-43.1318,297.1,0.46,0.64,2021-12-27,0319,1,nominal,2.0NRT,284.7,0.78,N
-22.12651,-39.96601,330.22,0.52,0.5,2021-12-27,0319,1,nominal,2.0NRT,293.26,5.32,N
-21.44516,-43.60948,301.43,0.46,0.63,2021-12-27,0319,1,nominal,2.0NRT,286.98,1.19,N
-22.28049,-41.72832,318.32,0.33,0.56,2021-12-27,0319,1,nominal,2.0NRT,290.36,0.85,N
-22.28117,-41.72517,307.01,0.33,0.56,2021-12-27,0319,1,nominal,2.0NRT,289.81,0.85,N
-22.72027,-43.27326,345.08,0.41,0.6,2021-12-27,0319,1,nominal,2.0NRT,291.84,4.21,N
-22.90213,-43.73838,324.46,0.43,0.62,2021-12-27,0319,1,nominal,2.0NRT,288.67,2.7,N
-22.9031,-43.7342,336.68,0.43,0.62,2021-12-27,0319,1,nominal,2.0NRT,288.48,2.7,N
-22.90678,-43.74413,304.51,0.43,0.62,2021-12-27,0319,1,nominal,2.0NRT,287.3,3.27,N
-22.90775,-43.73996,303.93,0.43,0.62,2021-12-27,0319,1,nominal,2.0NRT,287.9,2.7,N
-22.90872,-43.73576,303.57,0.43,0.62,2021-12-27,0319,1,nominal,2.0NRT,285.57,2.7,N
-22.90968,-43.73156,309.13,0.43,0.62,2021-12-27,0319,1,nominal,2.0NRT,282.95,3.5,N
-22.91512,-43.75986,299.31,0.43,0.62,2021-12-27,0319,1,nominal,2.0NRT,284.53,1.52,N
-22.92171,-43.75723,305.06,0.43,0.62,2021-12-27,0319,1,nominal,2.0NRT,279.54,1.93,N
-24.54022,-42.13604,349.31,0.32,0.54,2021-12-27,0319,1,nominal,2.0NRT,294.23,3.34,N
-25.6578,-42.86337,367,0.33,0.56,2021-12-27,0321,1,high,2.0NRT,293.69,13.7,N
-25.65854,-42.86006,323.43,0.33,0.56,2021-12-27,0321,1,nominal,2.0NRT,292.64,4.53,N
-25.65927,-42.85675,304.87,0.33,0.56,2021-12-27,0321,1,nominal,2.0NRT,291.89,4.53,N
2.54674,-61.00541,337.84,0.36,0.57,2021-12-27,0453,1,nominal,2.0NRT,288.13,4.06,N
-12.29826,-42.15606,337,0.7,0.75,2021-12-27,0457,1,nominal,2.0NRT,208.84,0.1,N
-15.07773,-48.94683,312.7,0.52,0.5,2021-12-27,0457,1,nominal,2.0NRT,290.99,1.82,N
-15.57089,-47.8569,300.05,0.63,0.54,2021-12-27,0457,1,nominal,2.0NRT,289.25,0.93,N
-15.75859,-58.75496,304.96,0.43,0.38,2021-12-27,0459,1,nominal,2.0NRT,293.24,0.58,N
-16.14185,-58.64029,321.56,0.42,0.38,2021-12-27,0459,1,nominal,2.0NRT,286.98,1.72,N
-16.32642,-60.63363,315.11,0.52,0.41,2021-12-27,0459,1,nominal,2.0NRT,287.99,1.44,N
-16.54494,-61.16338,303.13,0.55,0.43,2021-12-27,0459,1,nominal,2.0NRT,288.93,0.76,N
-16.54478,-61.16484,301.6,0.55,0.43,2021-12-27,0459,1,nominal,2.0NRT,288.15,0.72,N
-16.90919,-60.66316,318.78,0.51,0.41,2021-12-27,0459,1,nominal,2.0NRT,292.96,2.04,N
-16.91211,-60.66866,307.27,0.51,0.41,2021-12-27,0459,1,nominal,2.0NRT,291.92,1.02,N
-18.40654,-53.38906,326.27,0.47,0.4,2021-12-27,0459,1,nominal,2.0NRT,291.84,2.26,N
-20.54386,-43.7675,301.49,0.67,0.74,2021-12-27,0459,1,nominal,2.0NRT,284.31,2.89,N
-20.5449,-43.75466,300.88,0.67,0.74,2021-12-27,0459,1,nominal,2.0NRT,285.5,2.96,N
-20.53866,-43.7682,296.78,0.67,0.74,2021-12-27,0459,1,nominal,2.0NRT,284.42,1.8,N
-20.54643,-43.7561,299.34,0.67,0.74,2021-12-27,0459,1,nominal,2.0NRT,285.26,3.98,N
-20.47168,-45.93297,310.5,0.48,0.65,2021-12-27,0459,1,nominal,2.0NRT,285.72,1.96,N
-20.4721,-45.92847,301.22,0.48,0.65,2021-12-27,0459,1,nominal,2.0NRT,285.81,1.72,N
-19.02108,-57.62367,310.98,0.39,0.36,2021-12-27,0459,1,nominal,2.0NRT,294.96,1.65,N
-20.46831,-45.92951,306.72,0.49,0.65,2021-12-27,0459,1,nominal,2.0NRT,285.86,1.33,N
-20.47426,-45.9306,310.09,0.49,0.65,2021-12-27,0459,1,nominal,2.0NRT,286.17,1.33,N
-18.44488,-62.31097,311.06,0.4,0.44,2021-12-27,0459,1,nominal,2.0NRT,291.07,1.32,N
-18.44558,-62.30722,313.11,0.4,0.44,2021-12-27,0459,1,nominal,2.0NRT,292.38,1.78,N
-18.45508,-62.30137,311.33,0.4,0.44,2021-12-27,0459,1,nominal,2.0NRT,292.1,1.16,N
-19.54418,-59.2969,321.97,0.42,0.37,2021-12-27,0459,1,nominal,2.0NRT,294.94,3.62,N
-19.54761,-59.29756,307.92,0.42,0.37,2021-12-27,0459,1,nominal,2.0NRT,294.1,2.63,N
-20.24159,-55.42004,306.72,0.41,0.37,2021-12-27,0459,1,nominal,2.0NRT,292.43,0.81,N
-21.85695,-48.05389,309.93,0.36,0.58,2021-12-27,0459,1,nominal,2.0NRT,288.62,1.19,N
-19.81805,-62.93317,305.3,0.41,0.45,2021-12-27,0459,1,nominal,2.0NRT,291.99,4.08,N
-19.81924,-62.94966,354.05,0.41,0.45,2021-12-27,0459,1,nominal,2.0NRT,293.16,5.42,N
-19.81997,-62.94575,347.39,0.41,0.45,2021-12-27,0459,1,nominal,2.0NRT,292.99,8.58,N
-19.8207,-62.94184,356.09,0.41,0.45,2021-12-27,0459,1,nominal,2.0NRT,292.94,8.58,N
-19.82142,-62.93795,349.04,0.41,0.45,2021-12-27,0459,1,nominal,2.0NRT,292.59,4.08,N
-19.82215,-62.93405,330.69,0.41,0.45,2021-12-27,0459,1,nominal,2.0NRT,291.8,4.08,N
-19.81851,-62.95357,301.27,0.41,0.45,2021-12-27,0459,1,nominal,2.0NRT,290.73,5.42,N
-19.81742,-62.94817,353.81,0.41,0.45,2021-12-27,0459,1,nominal,2.0NRT,293.54,5.52,N
-19.81817,-62.94428,336.6,0.41,0.45,2021-12-27,0459,1,nominal,2.0NRT,292.64,8.3,N
-19.81893,-62.94038,353.02,0.41,0.45,2021-12-27,0459,1,nominal,2.0NRT,293.68,8.3,N
-19.81968,-62.93649,352.51,0.41,0.45,2021-12-27,0459,1,nominal,2.0NRT,293.68,5.62,N
-19.81666,-62.95208,318.87,0.41,0.45,2021-12-27,0459,1,nominal,2.0NRT,290.76,5.52,N
-19.82044,-62.93259,318.92,0.41,0.45,2021-12-27,0459,1,nominal,2.0NRT,292.49,5.62,N
-22.51404,-44.12262,301.75,0.67,0.73,2021-12-27,0501,1,nominal,2.0NRT,288.32,2.24,N
-20.98989,-57.97821,315.09,0.39,0.36,2021-12-27,0501,1,nominal,2.0NRT,294.36,2.62,N
-20.99321,-57.97881,316.75,0.39,0.36,2021-12-27,0501,1,nominal,2.0NRT,294.02,2.62,N
-20.99652,-57.97942,308.97,0.39,0.36,2021-12-27,0501,1,nominal,2.0NRT,290.93,4.06,N
-20.77532,-59.95315,313.59,0.43,0.38,2021-12-27,0501,1,nominal,2.0NRT,294.41,2.97,N
-20.77602,-59.94906,314.64,0.43,0.38,2021-12-27,0501,1,nominal,2.0NRT,294.82,2.97,N
-20.77949,-59.94975,332.17,0.43,0.38,2021-12-27,0501,1,nominal,2.0NRT,295.51,3.79,N
-20.77879,-59.95383,315.69,0.43,0.38,2021-12-27,0501,1,nominal,2.0NRT,294.09,3.79,N
-20.78019,-59.94565,308.12,0.43,0.38,2021-12-27,0501,1,nominal,2.0NRT,294.14,3.75,N
-22.90335,-43.73334,320.57,0.71,0.75,2021-12-27,0501,1,nominal,2.0NRT,288.31,3.99,N
-22.90288,-43.74037,313.55,0.71,0.75,2021-12-27,0501,1,nominal,2.0NRT,288.16,4.16,N
-22.90985,-43.74089,308.38,0.71,0.75,2021-12-27,0501,1,nominal,2.0NRT,288.63,4.16,N
-22.91033,-43.7339,310.73,0.71,0.75,2021-12-27,0501,1,nominal,2.0NRT,288.15,3.99,N
-22.92283,-43.75597,307.35,0.71,0.75,2021-12-27,0501,1,nominal,2.0NRT,289.28,4.14,N
-22.53823,-48.8157,301.39,0.33,0.55,2021-12-27,0501,1,nominal,2.0NRT,291.24,1.35,N
-22.53856,-48.81248,302.83,0.33,0.55,2021-12-27,0501,1,nominal,2.0NRT,291.72,1.78,N
-22.69355,-47.65942,320.65,0.4,0.6,2021-12-27,0501,1,nominal,2.0NRT,290.45,1.73,N
-21.30972,-59.84599,319.18,0.42,0.38,2021-12-27,0501,1,nominal,2.0NRT,294.78,3.2,N
-21.9927,-56.48395,310.35,0.39,0.37,2021-12-27,0501,1,nominal,2.0NRT,293.2,1.27,N
-22.09429,-56.6794,348.91,0.39,0.36,2021-12-27,0501,1,nominal,2.0NRT,298.01,10.14,N
-22.09486,-56.6756,320.91,0.39,0.36,2021-12-27,0501,1,nominal,2.0NRT,294.99,10.14,N
-21.79582,-58.58283,308.58,0.39,0.36,2021-12-27,0501,1,nominal,2.0NRT,271.37,0.13,N
-22.09763,-56.67997,347.63,0.39,0.36,2021-12-27,0501,1,nominal,2.0NRT,296.66,10.14,N
-21.79977,-58.5797,307.54,0.39,0.36,2021-12-27,0501,1,nominal,2.0NRT,269.9,0.13,N
-22.0982,-56.67617,309.81,0.39,0.36,2021-12-27,0501,1,nominal,2.0NRT,293.76,10.14,N
-21.19728,-63.3984,310.32,0.42,0.45,2021-12-27,0501,1,nominal,2.0NRT,290.1,0.85,N
-21.72567,-61.44115,332.05,0.48,0.4,2021-12-27,0501,1,nominal,2.0NRT,293.49,2.66,N
-21.7265,-61.43653,345.65,0.48,0.4,2021-12-27,0501,1,nominal,2.0NRT,295.53,4.21,N
-21.72934,-61.44192,312.48,0.48,0.4,2021-12-27,0501,1,nominal,2.0NRT,292.39,2.66,N
-21.73016,-61.43729,308.61,0.48,0.4,2021-12-27,0501,1,nominal,2.0NRT,292.3,4.21,N
-21.733,-61.44268,305.14,0.48,0.4,2021-12-27,0501,1,nominal,2.0NRT,292.41,1.07,N
-21.72866,-61.43982,336.25,0.48,0.4,2021-12-27,0501,1,nominal,2.0NRT,293.73,2.55,N
-21.72951,-61.4352,305.91,0.48,0.4,2021-12-27,0501,1,nominal,2.0NRT,292.82,1.04,N
-21.73148,-61.44519,304.47,0.48,0.4,2021-12-27,0501,1,nominal,2.0NRT,292.32,2.55,N
-22.10214,-60.82765,337.87,0.45,0.39,2021-12-27,0501,1,nominal,2.0NRT,296.62,4.35,N
-22.10291,-60.82333,306.63,0.45,0.39,2021-12-27,0501,1,nominal,2.0NRT,294.27,1.37,N
-22.10569,-60.82837,350.26,0.45,0.39,2021-12-27,0501,1,nominal,2.0NRT,297.21,4.35,N
-22.10492,-60.83269,311.33,0.45,0.39,2021-12-27,0501,1,nominal,2.0NRT,293.12,4.35,N
-22.10645,-60.82406,312.17,0.45,0.39,2021-12-27,0501,1,nominal,2.0NRT,294.45,1.37,N
-23.98396,-48.91909,315.14,0.34,0.56,2021-12-27,0501,1,nominal,2.0NRT,288.63,1.93,N
-22.64105,-59.91323,331.09,0.41,0.37,2021-12-27,0501,1,nominal,2.0NRT,296.35,3.82,N
