latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-20.24859,-40.24919,303.93,2.38,1.49,2021-12-27,0049,T,34,6.1NRT,292.06,17.03,N
-27.41029,-57.529,309.72,1.05,1.02,2021-12-27,0225,T,34,6.1NRT,290.15,9.57,N
-26.47145,-52.72173,304.14,1.28,1.12,2021-12-27,0225,T,59,6.1NRT,291.18,8.71,N
-26.47354,-52.73422,303.39,1.27,1.12,2021-12-27,0225,T,55,6.1NRT,291.31,7.84,N
-26.20217,-53.96105,321.57,1.12,1.06,2021-12-27,0225,T,100,6.1NRT,294.34,21.1,N
-26.20392,-53.97208,323.98,1.12,1.06,2021-12-27,0225,T,100,6.1NRT,293.42,24.09,N
-25.57375,-52.81224,301.95,1.3,1.13,2021-12-27,0225,T,46,6.1NRT,283.59,11.24,N
-25.69106,-53.89538,306.97,1.14,1.07,2021-12-27,0225,T,70,6.1NRT,295.56,7.11,N
-25.69289,-53.90665,306.6,1.14,1.07,2021-12-27,0225,T,69,6.1NRT,295.06,6.52,N
-26.0946,-56.89419,303.17,1.01,1,2021-12-27,0225,T,54,6.1NRT,291.19,5.13,N
-25.98557,-57.58002,312.17,1.03,1.02,2021-12-27,0225,T,84,6.1NRT,294.22,13.04,N
-25.56717,-55.27843,304.05,1.03,1.01,2021-12-27,0225,T,58,6.1NRT,293.38,6.02,N
-26.39313,-62.45831,309.52,1.89,1.34,2021-12-27,0225,T,78,6.1NRT,295.13,18.55,N
-25.37769,-55.30513,309.7,1.03,1.02,2021-12-27,0225,T,78,6.1NRT,295.82,7.57,N
-25.37924,-55.31537,313.41,1.03,1.02,2021-12-27,0225,T,87,6.1NRT,295.69,10.39,N
-25.65949,-57.33987,327.15,1.02,1.01,2021-12-27,0225,T,100,6.1NRT,291.96,26.35,N
-25.40104,-58.23068,312.72,1.07,1.03,2021-12-27,0225,T,86,6.1NRT,295.66,11.12,N
-25.36057,-58.11379,306.88,1.06,1.03,2021-12-27,0225,T,65,6.1NRT,296.57,6.08,N
-25.36196,-58.12429,308.16,1.06,1.03,2021-12-27,0225,T,74,6.1NRT,295.86,6.99,N
-24.9288,-56.50769,305.3,1,1,2021-12-27,0225,T,57,6.1NRT,293.75,5.59,N
-24.93022,-56.51757,329.1,1,1,2021-12-27,0225,T,100,6.1NRT,295.09,27.07,N
-24.93162,-56.52745,319.96,1,1,2021-12-27,0225,T,99,6.1NRT,293.64,16.84,N
-24.9198,-56.50927,335.66,1,1,2021-12-27,0225,T,100,6.1NRT,295.06,35.27,N
-24.92121,-56.51915,352.59,1,1,2021-12-27,0225,T,100,6.1NRT,297.69,66.72,N
-24.92262,-56.52903,313.88,1,1,2021-12-27,0225,T,88,6.1NRT,294.76,11.14,N
-25.20655,-58.70841,316.97,1.1,1.05,2021-12-27,0225,T,94,6.1NRT,296.14,15.02,N
-25.19709,-58.70989,333.6,1.1,1.05,2021-12-27,0225,T,100,6.1NRT,296.83,36.41,N
-25.19847,-58.72087,325.3,1.11,1.05,2021-12-27,0225,T,100,6.1NRT,296.27,24.46,N
-25.24306,-59.07838,307.04,1.15,1.07,2021-12-27,0225,T,69,6.1NRT,295.79,6.89,N
-25.18763,-58.71138,308.03,1.1,1.05,2021-12-27,0225,T,72,6.1NRT,295.45,7.11,N
-25.189,-58.72235,312.74,1.11,1.05,2021-12-27,0225,T,85,6.1NRT,296.21,11.21,N
-25.12976,-58.749,315.03,1.11,1.05,2021-12-27,0225,T,90,6.1NRT,297.07,13.05,N
-25.08462,-58.54525,307.22,1.09,1.04,2021-12-27,0225,T,70,6.1NRT,295.77,7.01,N
-25.08671,-58.75042,318.47,1.11,1.05,2021-12-27,0225,T,97,6.1NRT,296.55,16.33,N
-25.08813,-58.76139,313.82,1.11,1.05,2021-12-27,0225,T,87,6.1NRT,295.7,11.88,N
-24.9504,-58.48019,323.01,1.08,1.04,2021-12-27,0225,T,100,6.1NRT,296.3,22.07,N
-24.58393,-55.96738,314.79,1.01,1.01,2021-12-27,0225,T,90,6.1NRT,296.92,12.13,N
-24.57487,-55.96898,314.89,1.01,1.01,2021-12-27,0225,T,90,6.1NRT,296.08,12.44,N
-24.82332,-58.99002,317.77,1.12,1.06,2021-12-27,0225,T,95,6.1NRT,296.46,15.86,N
-24.81378,-58.99149,307.91,1.12,1.06,2021-12-27,0225,T,62,6.1NRT,296.64,6.61,N
-24.81519,-59.00263,311.83,1.13,1.06,2021-12-27,0225,T,82,6.1NRT,295.92,9.98,N
-24.80564,-59.00409,307.46,1.13,1.06,2021-12-27,0225,T,23,6.1NRT,296.86,5.68,N
-24.80705,-59.01524,325.09,1.13,1.06,2021-12-27,0225,T,100,6.1NRT,296.17,24.06,N
-24.7975,-59.01671,310.86,1.13,1.06,2021-12-27,0225,T,56,6.1NRT,297.09,8.31,N
-24.09545,-54.3817,306.82,1.14,1.06,2021-12-27,0225,T,69,6.1NRT,294.73,8.1,N
-24.09719,-54.39283,307.75,1.14,1.06,2021-12-27,0225,T,72,6.1NRT,294.31,8.84,N
-24.74363,-59.81797,318.92,1.23,1.1,2021-12-27,0225,T,97,6.1NRT,295.86,20.48,N
-24.29623,-56.51982,331.95,1,1,2021-12-27,0225,T,100,6.1NRT,298.32,29.85,N
-24.68624,-61.15585,310.46,1.47,1.2,2021-12-27,0225,T,78,6.1NRT,296.36,11.94,N
-24.68786,-61.17039,318.25,1.47,1.2,2021-12-27,0225,T,96,6.1NRT,296.6,22.9,N
-24.67541,-61.15731,324.13,1.47,1.2,2021-12-27,0225,T,100,6.1NRT,297.69,33.37,N
-24.67703,-61.17188,316.95,1.47,1.2,2021-12-27,0225,T,94,6.1NRT,297.69,20.96,N
-24.39892,-60.2454,306.58,1.28,1.12,2021-12-27,0225,T,63,6.1NRT,294.72,8.86,N
-24.40042,-60.25808,306.45,1.29,1.13,2021-12-27,0225,T,62,6.1NRT,294.59,9.09,N
-23.76777,-56.23849,304.99,1.01,1,2021-12-27,0225,T,62,6.1NRT,293.5,5.56,N
-23.75873,-56.24009,308.2,1.01,1,2021-12-27,0225,T,74,6.1NRT,293.12,7.82,N
-24.21985,-59.76621,306.5,1.21,1.09,2021-12-27,0225,T,63,6.1NRT,295.88,6.83,N
