,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,Fuente,brightness,bright_t31,Coordenadas,Locacion,road,city,county,state,country,country_code,industrial,town,isolated_dwelling,hamlet,postcode,building,neighbourhood,region,suburb,amenity,man_made,village,office,historic,aeroway,tourism,state_district,highway,Comuna,REGION,PROVINCIA,COMUNA,ComunaUpper,raw,level_0,index,NOM_REGION,NOM_PROVINCIA
24902,-38.23942,-68.6698,315.75,0.33,0.55,2022-06-30,446,N,nominal,2.0NRT,272.93,1.9,N,SUOMI,,,"-38.23942,-68.6698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27865.0, , 
24903,-38.23538,-68.66854000000001,312.55,0.33,0.55,2022-06-30,446,N,nominal,2.0NRT,273.84,0.95,N,SUOMI,,,"-38.23538,-68.66854000000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27866.0, , 
24904,-38.24036,-68.67058,300.2,0.33,0.55,2022-06-30,446,N,nominal,2.0NRT,272.25,0.95,N,SUOMI,,,"-38.240359999999995,-68.67058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27867.0, , 
24905,-38.35078,-68.69022,311.33,0.33,0.55,2022-06-30,446,N,nominal,2.0NRT,273.0,1.36,N,SUOMI,,,"-38.35078,-68.69022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27868.0, , 
24906,-38.35173,-68.68649,299.45,0.33,0.55,2022-06-30,446,N,nominal,2.0NRT,272.6,0.75,N,SUOMI,,,"-38.351729999999996,-68.68649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27869.0, , 
24907,-38.34779,-68.68809,317.27,0.33,0.55,2022-06-30,446,N,nominal,2.0NRT,273.94,1.21,N,SUOMI,,,"-38.34779,-68.68809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27870.0, , 
24908,-38.35279,-68.69,301.76,0.33,0.55,2022-06-30,446,N,nominal,2.0NRT,272.0,0.62,N,SUOMI,,,"-38.35279,-68.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27871.0, , 
24909,-38.39249,-68.60079,329.86,0.32,0.55,2022-06-30,446,N,nominal,2.0NRT,273.83,2.16,N,SUOMI,,,"-38.39249,-68.60079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27872.0, , 
24910,-38.39343,-68.59715,300.24,0.32,0.55,2022-06-30,446,N,nominal,2.0NRT,273.42,1.23,N,SUOMI,,,"-38.39343,-68.59715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27873.0, , 
24911,-38.36069000000001,-68.74413,326.01,0.33,0.55,2022-06-30,446,N,nominal,2.0NRT,274.56,1.58,N,SUOMI,,,"-38.360690000000005,-68.74413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27874.0, , 
