,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
732,-23.78109,-70.31981,297.74,0.48,0.4,2022-05-14,605,N,nominal,2.0NRT,280.14,0.95,N
733,-23.784779999999998,-70.32043,300.23,0.48,0.4,2022-05-14,605,N,nominal,2.0NRT,278.73,0.95,N
734,-23.82294,-70.31711999999999,337.44,0.48,0.4,2022-05-14,605,N,nominal,2.0NRT,284.71,5.29,N
889,-27.4148,-70.25825999999999,302.0,0.52,0.42,2022-05-14,605,N,nominal,2.0NRT,280.61,0.51,N
890,-27.418670000000002,-70.25887,296.21,0.52,0.42,2022-05-14,605,N,nominal,2.0NRT,281.93,0.96,N
891,-28.479129999999998,-71.24735,300.62,0.48,0.4,2022-05-14,608,N,nominal,2.0NRT,285.19,0.44,N
892,-32.80488,-70.9519,301.44,0.56,0.43,2022-05-14,608,N,nominal,2.0NRT,281.84,1.09,N
893,-33.29334,-70.72743,320.65,0.38,0.44,2022-05-14,608,N,nominal,2.0NRT,282.74,0.96,N
894,-33.2974,-70.72805,322.94,0.38,0.44,2022-05-14,608,N,nominal,2.0NRT,282.06,1.64,N
895,-34.10374,-70.45730999999999,296.0,0.41,0.45,2022-05-14,608,N,nominal,2.0NRT,277.47,5.06,N
896,-34.10794,-70.4575,339.85,0.41,0.45,2022-05-14,608,N,nominal,2.0NRT,281.57,5.06,N
897,-35.792229999999996,-72.34002,298.91,0.51,0.41,2022-05-14,608,N,nominal,2.0NRT,275.25,1.03,N
898,-35.7929,-72.33424000000001,301.83,0.51,0.41,2022-05-14,608,N,nominal,2.0NRT,276.55,1.03,N
899,-35.79676,-72.3348,296.76,0.51,0.41,2022-05-14,608,N,nominal,2.0NRT,275.42,1.03,N
900,-35.79745,-72.32893,298.44,0.51,0.41,2022-05-14,608,N,nominal,2.0NRT,275.36,1.08,N
1894,-27.414179999999998,-70.25835,337.54,0.41,0.37,2022-05-14,1832,N,nominal,2.0NRT,306.07,4.53,D
1895,-23.82619,-70.31415,334.54,0.44,0.38,2022-05-14,1834,N,low,2.0NRT,305.29,5.58,D
1919,-17.49063,-71.35591,337.16,0.47,0.4,2022-05-14,1836,N,nominal,2.0NRT,303.83,6.95,D
1921,-17.00392,-71.63883,331.45,0.46,0.39,2022-05-14,1836,N,low,2.0NRT,306.06,33.62,D
1935,-38.37215,-70.80286,367.0,0.4,0.37,2022-05-14,1830,N,high,2.0NRT,294.65,14.78,D
1936,-38.371520000000004,-70.79831999999999,345.7,0.4,0.37,2022-05-14,1830,N,nominal,2.0NRT,288.19,8.76,D
1937,-38.365629999999996,-70.78089,347.64,0.4,0.37,2022-05-14,1830,N,nominal,2.0NRT,288.56,3.96,D
1938,-38.319340000000004,-72.72178000000001,328.5,0.44,0.39,2022-05-14,1830,N,nominal,2.0NRT,286.87,2.95,D
1940,-37.471109999999996,-71.81644,335.84,0.41,0.37,2022-05-14,1830,N,nominal,2.0NRT,286.86,4.31,D
1942,-37.658429999999996,-73.55894,330.55,0.47,0.4,2022-05-14,1830,N,nominal,2.0NRT,287.9,3.21,D
2759,-23.78283,-70.32055,303.88,0.39,0.36,2022-05-15,546,N,nominal,2.0NRT,280.11,0.81,N
2760,-23.82163,-70.31609,296.66,0.39,0.36,2022-05-15,546,N,nominal,2.0NRT,280.85,3.82,N
2761,-23.82498,-70.31671999999999,334.83,0.39,0.36,2022-05-15,546,N,nominal,2.0NRT,286.42,3.82,N
2767,-27.41915,-70.25737,307.52,0.38,0.36,2022-05-15,548,N,nominal,2.0NRT,282.92,0.79,N
2768,-27.42247,-70.25803,298.62,0.38,0.36,2022-05-15,548,N,nominal,2.0NRT,281.15,0.79,N
2769,-32.80341,-70.95844,299.58,0.39,0.36,2022-05-15,550,N,nominal,2.0NRT,280.09,0.59,N
2770,-32.80404,-70.95428000000001,311.44,0.39,0.36,2022-05-15,550,N,nominal,2.0NRT,283.28,1.97,N
2771,-32.76166,-71.47896,328.68,0.38,0.36,2022-05-15,550,N,nominal,2.0NRT,281.49,4.51,N
2772,-32.787690000000005,-71.48889,297.2,0.38,0.36,2022-05-15,550,N,nominal,2.0NRT,278.39,0.5,N
2773,-32.78833,-71.48477,295.27,0.38,0.36,2022-05-15,550,N,nominal,2.0NRT,277.47,0.5,N
2774,-33.41366,-70.88503,312.07,0.39,0.36,2022-05-15,550,N,nominal,2.0NRT,276.56,1.15,N
2775,-34.10693,-70.45765,335.34,0.4,0.37,2022-05-15,550,N,nominal,2.0NRT,285.1,11.2,N
2776,-34.10756,-70.45331999999999,297.7,0.4,0.37,2022-05-15,550,N,nominal,2.0NRT,278.67,11.2,N
2777,-36.0055,-72.45617,297.76,0.38,0.36,2022-05-15,550,N,nominal,2.0NRT,276.43,2.1,N
2778,-36.008829999999996,-72.45695,328.54,0.38,0.36,2022-05-15,550,N,nominal,2.0NRT,279.07,2.1,N
2779,-36.012159999999994,-72.45773,316.66,0.38,0.36,2022-05-15,550,N,nominal,2.0NRT,277.14,1.66,N
2780,-36.01482,-72.5295,299.08,0.38,0.36,2022-05-15,550,N,nominal,2.0NRT,278.25,0.64,N
2781,-36.86725,-71.37909,299.6,0.4,0.37,2022-05-15,550,N,nominal,2.0NRT,269.06,0.91,N
2782,-36.7449,-73.12566,323.93,0.38,0.36,2022-05-15,550,N,nominal,2.0NRT,280.48,1.6,N
2791,-37.784890000000004,-72.34525,307.07,0.39,0.36,2022-05-15,550,N,nominal,2.0NRT,274.87,0.66,N
2800,-37.897459999999995,-72.3835,313.66,0.39,0.36,2022-05-15,550,N,nominal,2.0NRT,276.96,2.29,N
2801,-37.90081,-72.3843,329.48,0.39,0.36,2022-05-15,550,N,nominal,2.0NRT,278.49,2.29,N
2802,-37.90147,-72.37986,318.79,0.39,0.36,2022-05-15,550,N,nominal,2.0NRT,279.24,1.05,N
2803,-37.90482,-72.38067,317.17,0.39,0.36,2022-05-15,550,N,nominal,2.0NRT,278.59,1.54,N
2806,-38.530570000000004,-72.58215,298.42,0.39,0.36,2022-05-15,550,N,nominal,2.0NRT,274.12,0.63,N
2807,-38.53391,-72.58296,312.43,0.39,0.36,2022-05-15,550,N,nominal,2.0NRT,274.13,0.63,N
2808,-39.41876,-71.94214000000001,301.25,0.4,0.37,2022-05-15,553,N,nominal,2.0NRT,264.4,0.51,N
2809,-39.41939,-71.93766,296.71,0.4,0.37,2022-05-15,553,N,nominal,2.0NRT,262.54,0.51,N
