,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
167,-32.80146,-70.95143,337.4,0.54,0.51,2022-05-01,512,N,nominal,2.0NRT,282.73,3.72,N
168,-32.759409999999995,-71.47991,304.27,0.58,0.52,2022-05-01,512,N,nominal,2.0NRT,281.97,1.73,N
169,-34.10417,-70.45557,338.69,0.48,0.48,2022-05-01,512,N,nominal,2.0NRT,280.82,5.89,N
170,-34.1084,-70.45754000000001,324.35,0.48,0.48,2022-05-01,512,N,nominal,2.0NRT,278.7,3.32,N
171,-34.146440000000005,-70.75813000000001,313.18,0.49,0.49,2022-05-01,512,N,nominal,2.0NRT,278.71,1.7,N
172,-34.15087,-70.75957,295.25,0.49,0.49,2022-05-01,512,N,nominal,2.0NRT,278.67,0.9,N
174,-35.031729999999996,-71.28838,298.51,0.5,0.49,2022-05-01,512,N,nominal,2.0NRT,278.15,0.84,N
179,-37.25124,-72.92296999999999,298.93,0.54,0.51,2022-05-01,514,N,nominal,2.0NRT,275.3,1.14,N
478,-23.823420000000002,-70.31684,309.22,0.39,0.59,2022-05-01,510,N,nominal,2.0NRT,283.62,1.68,N
484,-29.989340000000002,-71.24194,300.07,0.32,0.55,2022-05-01,510,N,nominal,2.0NRT,279.43,0.18,N
485,-29.994320000000002,-71.24355,311.09,0.32,0.55,2022-05-01,510,N,nominal,2.0NRT,280.38,0.78,N
831,-32.75923,-71.4809,305.66,0.73,0.76,2022-05-01,652,N,nominal,2.0NRT,280.82,2.02,N
832,-32.75943,-71.47261,307.39,0.73,0.76,2022-05-01,652,N,nominal,2.0NRT,277.83,2.02,N
1040,-36.31901,-71.85087,332.31,0.68,0.74,2022-05-01,1734,N,nominal,2.0NRT,289.73,4.14,D
1041,-36.198440000000005,-72.00121999999999,350.98,0.69,0.75,2022-05-01,1734,N,nominal,2.0NRT,291.42,7.01,D
1042,-36.20192,-72.00044,333.15,0.69,0.75,2022-05-01,1734,N,nominal,2.0NRT,289.76,4.62,D
1043,-36.19482,-72.00059,327.84,0.69,0.75,2022-05-01,1734,N,nominal,2.0NRT,289.85,3.79,D
1044,-35.84995,-71.72465,330.34,0.67,0.74,2022-05-01,1734,N,nominal,2.0NRT,287.73,4.22,D
1045,-35.84556,-71.7252,336.85,0.67,0.73,2022-05-01,1734,N,nominal,2.0NRT,286.91,5.28,D
1049,-34.10884,-70.45886,330.81,0.56,0.69,2022-05-01,1734,N,nominal,2.0NRT,294.5,4.77,D
1052,-32.80338,-70.95059,330.73,0.58,0.7,2022-05-01,1734,N,nominal,2.0NRT,295.14,3.39,D
2218,-38.66709,-72.98969,339.02,0.42,0.45,2022-05-01,1915,N,nominal,2.0NRT,287.61,3.41,D
2219,-38.330859999999994,-72.34453,327.9,0.45,0.47,2022-05-01,1915,N,nominal,2.0NRT,285.17,2.67,D
2220,-38.26052,-72.78944,337.03,0.43,0.46,2022-05-01,1915,N,nominal,2.0NRT,287.53,4.24,D
2223,-37.26392,-73.39341999999999,325.56,0.43,0.46,2022-05-01,1915,N,nominal,2.0NRT,289.2,2.87,D
2224,-34.86858,-70.64153,353.32,0.34,0.56,2022-05-01,1915,N,nominal,2.0NRT,295.33,3.71,D
2225,-34.86925,-70.64423000000001,327.6,0.34,0.56,2022-05-01,1915,N,nominal,2.0NRT,293.09,3.71,D
2226,-35.05036,-71.79445,337.41,0.57,0.52,2022-05-01,1915,N,nominal,2.0NRT,292.53,6.52,D
2227,-32.80461,-70.94989,355.78,0.36,0.57,2022-05-01,1915,N,nominal,2.0NRT,295.89,5.86,D
2228,-32.761959999999995,-71.47466,367.0,0.34,0.56,2022-05-01,1915,N,high,2.0NRT,293.38,4.91,D
2229,-32.756859999999996,-71.47634000000001,330.17,0.34,0.56,2022-05-01,1915,N,nominal,2.0NRT,292.43,2.22,D
2230,-27.411890000000003,-70.2626,355.36,0.53,0.67,2022-05-01,1917,N,nominal,2.0NRT,303.05,7.59,D
2335,-36.744209999999995,-73.12803000000001,300.7,0.5,0.66,2022-05-02,453,N,nominal,2.0NRT,281.02,1.31,N
2609,-34.102309999999996,-70.45692,319.67,0.43,0.62,2022-05-02,455,N,nominal,2.0NRT,276.42,2.45,N
2610,-34.10348,-70.45254,308.71,0.43,0.62,2022-05-02,455,N,nominal,2.0NRT,277.59,2.45,N
2611,-34.10745,-70.46064,323.45,0.43,0.62,2022-05-02,455,N,nominal,2.0NRT,277.11,2.45,N
2612,-34.1087,-70.45597,311.55,0.43,0.62,2022-05-02,455,N,nominal,2.0NRT,276.47,2.45,N
2967,-34.104279999999996,-70.46038,338.93,0.46,0.64,2022-05-02,633,N,nominal,2.0NRT,277.08,11.3,N
2968,-34.10453,-70.45546999999999,338.21,0.46,0.64,2022-05-02,633,N,nominal,2.0NRT,277.55,8.94,N
2969,-36.74306,-73.12849,303.36,0.34,0.56,2022-05-02,633,N,nominal,2.0NRT,281.35,0.53,N
2970,-36.74837,-73.12901,298.63,0.34,0.56,2022-05-02,633,N,nominal,2.0NRT,280.83,0.53,N
2971,-37.253029999999995,-72.92649,302.5,0.36,0.57,2022-05-02,633,N,nominal,2.0NRT,276.49,1.05,N
2972,-37.25329,-72.92229,315.79,0.36,0.57,2022-05-02,633,N,nominal,2.0NRT,277.24,1.05,N
