,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
16,-38.2682,-72.67834,340.65,1.56,1.23,2022-03-16,315,T,100,6.1NRT,287.35,90.91,N
17,-38.269909999999996,-72.69643,325.44,1.57,1.23,2022-03-16,315,T,100,6.1NRT,285.96,50.1,N
18,-38.12513,-72.72443,312.91,1.57,1.23,2022-03-16,315,T,86,6.1NRT,286.85,27.54,N
19,-38.12675,-72.74226999999999,307.22,1.57,1.23,2022-03-16,315,T,71,6.1NRT,286.71,19.75,N
20,-38.126,-72.73038000000001,320.86,1.57,1.23,2022-03-16,315,T,100,6.1NRT,287.8,41.17,N
21,-38.06501,-72.22493,303.35,1.46,1.2,2022-03-16,315,T,55,6.1NRT,288.15,11.62,N
22,-38.05415,-72.22674,314.1,1.46,1.2,2022-03-16,315,T,89,6.1NRT,288.15,24.45,N
23,-38.05583,-72.24367,306.25,1.47,1.2,2022-03-16,315,T,67,6.1NRT,287.89,14.82,N
24,-37.0492,-72.60558,304.18,1.49,1.21,2022-03-16,315,T,30,6.1NRT,287.55,12.61,N
25,-37.05084,-72.62254,316.62,1.5,1.21,2022-03-16,315,T,94,6.1NRT,287.97,28.79,N
26,-37.03986,-72.62415,327.9,1.5,1.21,2022-03-16,315,T,100,6.1NRT,289.25,48.62,N
27,-37.04148,-72.6412,327.52,1.5,1.21,2022-03-16,315,T,100,6.1NRT,288.24,47.7,N
28,-37.02882,-72.62531,307.24,1.5,1.21,2022-03-16,315,T,48,6.1NRT,287.55,15.68,N
29,-37.03045,-72.64243,312.32,1.5,1.21,2022-03-16,315,T,84,6.1NRT,287.41,22.41,N
30,-37.037079999999996,-72.61372,308.44,1.49,1.21,2022-03-16,315,T,49,6.1NRT,288.06,17.11,N
31,-37.03881,-72.6308,327.89,1.5,1.21,2022-03-16,315,T,100,6.1NRT,289.4,49.55,N
32,-37.04053,-72.64775,313.92,1.5,1.21,2022-03-16,315,T,52,6.1NRT,287.49,23.63,N
33,-37.02776,-72.63189,314.63,1.5,1.21,2022-03-16,317,T,90,6.1NRT,287.61,26.15,N
147,-17.49193,-71.354,308.55,1.85,1.33,2022-03-16,633,A,75,6.1NRT,288.94,25.06,N
148,-37.03573,-72.60892,301.31,2.68,1.57,2022-03-16,640,A,17,6.1NRT,286.18,27.42,N
149,-37.050059999999995,-72.61024,308.49,2.68,1.57,2022-03-16,640,A,75,6.1NRT,285.86,46.19,N
150,-37.03776,-72.61678,309.37,2.68,1.57,2022-03-16,640,A,77,6.1NRT,286.07,50.69,N
294,-38.06544,-72.22066,310.61,1.7,1.28,2022-03-16,1418,T,56,6.1NRT,295.79,15.42,D
295,-38.21615,-72.73337,318.21,1.81,1.32,2022-03-16,1418,T,75,6.1NRT,298.45,26.76,D
296,-38.30746,-72.68439000000001,312.11,1.79,1.31,2022-03-16,1418,T,46,6.1NRT,295.83,17.45,D
564,-39.03675,-72.32726,319.49,1.16,1.07,2022-03-16,1838,A,78,6.1NRT,293.71,16.24,D
565,-39.0383,-72.34051,342.66,1.16,1.07,2022-03-16,1838,A,93,6.1NRT,292.55,54.12,D
566,-39.02046,-72.3581,357.04,1.16,1.07,2022-03-16,1838,A,98,6.1NRT,296.17,90.25,D
567,-39.02203,-72.3717,357.04,1.16,1.07,2022-03-16,1838,A,98,6.1NRT,298.72,91.3,D
568,-39.03614,-72.49445,316.23,1.18,1.08,2022-03-16,1838,A,63,6.1NRT,289.69,12.32,D
569,-39.017379999999996,-72.35158,312.67,1.16,1.07,2022-03-16,1838,A,44,6.1NRT,292.11,8.14,D
570,-39.019009999999994,-72.36523000000001,359.6,1.16,1.07,2022-03-16,1838,A,99,6.1NRT,298.86,100.65,D
571,-39.02064,-72.37881,315.04,1.16,1.07,2022-03-16,1838,A,71,6.1NRT,294.94,10.51,D
572,-39.033609999999996,-72.4877,314.65,1.17,1.08,2022-03-16,1838,A,50,6.1NRT,290.94,12.72,D
573,-38.95092,-72.37845,324.7,1.16,1.07,2022-03-16,1838,A,66,6.1NRT,297.62,21.68,D
574,-38.90984,-72.37801,331.3,1.16,1.07,2022-03-16,1838,A,75,6.1NRT,287.3,28.81,D
575,-38.91145,-72.39155,383.09,1.16,1.07,2022-03-16,1838,A,87,6.1NRT,296.62,199.11,D
576,-38.913059999999994,-72.40508,322.11,1.16,1.07,2022-03-16,1838,A,42,6.1NRT,299.17,17.14,D
577,-38.91788,-72.44578,313.71,1.17,1.08,2022-03-16,1838,A,39,6.1NRT,293.46,8.71,D
578,-38.89692,-72.35291,330.95,1.16,1.07,2022-03-16,1838,A,86,6.1NRT,298.89,31.06,D
579,-38.90173,-72.39345,349.74,1.16,1.07,2022-03-16,1838,A,95,6.1NRT,298.86,66.71,D
580,-38.90332,-72.40694,337.46,1.16,1.07,2022-03-16,1838,A,90,6.1NRT,301.32,39.54,D
581,-38.88068,-72.38373,341.91,1.16,1.07,2022-03-16,1838,A,92,6.1NRT,298.02,47.92,D
582,-38.88227,-72.39724,367.95,1.16,1.07,2022-03-16,1838,A,100,6.1NRT,301.95,126.95,D
583,-38.83664,-73.0668,314.32,1.24,1.11,2022-03-16,1838,A,72,6.1NRT,293.59,13.42,D
589,-38.51482,-72.90465999999999,310.53,1.21,1.09,2022-03-16,1838,A,51,6.1NRT,293.14,9.2,D
590,-38.44117,-72.79075999999999,367.45,1.19,1.09,2022-03-16,1838,A,100,6.1NRT,298.12,132.14,D
591,-38.44274,-72.80453,353.05,1.19,1.09,2022-03-16,1838,A,91,6.1NRT,297.09,81.87,D
592,-38.43288,-72.80634,318.12,1.19,1.09,2022-03-16,1838,A,61,6.1NRT,293.29,14.19,D
593,-38.43179,-72.79793000000001,327.73,1.19,1.09,2022-03-16,1838,A,70,6.1NRT,293.6,29.14,D
594,-38.24418,-73.37763000000001,305.99,1.26,1.11,2022-03-16,1841,A,54,6.1NRT,292.47,8.29,D
595,-38.05984,-72.23421,348.74,1.12,1.06,2022-03-16,1841,A,95,6.1NRT,297.78,65.07,D
597,-38.00121,-72.15386,333.33,1.12,1.05,2022-03-16,1841,A,80,6.1NRT,311.26,26.46,D
600,-37.92716,-72.29253,322.29,1.13,1.06,2022-03-16,1841,A,51,6.1NRT,301.95,14.22,D
601,-37.92872,-72.30555,335.91,1.13,1.06,2022-03-16,1841,A,88,6.1NRT,306.31,36.19,D
602,-37.917590000000004,-72.29449,331.3,1.13,1.06,2022-03-16,1841,A,85,6.1NRT,305.1,25.42,D
603,-37.919140000000006,-72.30741,350.78,1.13,1.06,2022-03-16,1841,A,96,6.1NRT,306.96,67.19,D
606,-37.69812,-72.18642,316.05,1.11,1.05,2022-03-16,1841,A,68,6.1NRT,304.24,6.99,D
607,-37.68704,-72.17558000000001,343.93,1.11,1.05,2022-03-16,1841,A,92,6.1NRT,305.17,49.29,D
