,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
573,-34.10785,-70.458,302.64,3.02,1.65,2022-01-19,406,T,50,6.1NRT,282.66,42.51,N
708,-23.82343,-70.31313,305.07,1.3,1.13,2022-01-19,548,A,63,6.1NRT,287.31,13.11,N
711,-34.105090000000004,-70.45064,304.92,1.02,1.01,2022-01-19,552,A,62,6.1NRT,283.37,10.07,N
983,-38.442170000000004,-71.88495999999999,307.11,1.7,1.28,2022-01-19,1509,T,56,6.1NRT,294.16,10.18,D
984,-39.29222,-72.2244,307.64,1.66,1.27,2022-01-19,1509,T,33,6.1NRT,293.61,9.8,D
985,-39.3677,-72.62605,306.32,1.58,1.24,2022-01-19,1509,T,50,6.1NRT,293.75,10.71,D
986,-33.447990000000004,-70.81651,338.44,1.71,1.28,2022-01-19,1509,T,89,6.1NRT,309.61,54.94,D
987,-33.44982,-70.79793000000001,330.46,1.71,1.28,2022-01-19,1509,T,72,6.1NRT,308.95,31.24,D
988,-33.459559999999996,-70.81884000000001,325.85,1.71,1.28,2022-01-19,1509,T,59,6.1NRT,307.32,19.91,D
989,-36.94562,-73.01179,309.98,1.4,1.17,2022-01-19,1509,T,0,6.1NRT,296.53,12.98,D
990,-37.47723,-73.34291999999999,310.86,1.37,1.16,2022-01-19,1509,T,25,6.1NRT,296.69,9.88,D
1879,-40.694959999999995,-71.9197,302.98,2.53,1.53,2022-01-19,1929,A,12,6.1NRT,288.2,13.33,D
2389,-34.77507,-70.89785,309.05,1.38,1.16,2022-01-20,312,T,76,6.1NRT,287.18,17.76,N
2390,-34.23938,-71.09225,315.79,1.39,1.17,2022-01-20,312,T,83,6.1NRT,285.61,22.07,N
2391,-34.22722,-71.07893,449.38,1.39,1.17,2022-01-20,312,T,100,6.1NRT,332.61,1136.71,N
2392,-34.22865,-71.09251,443.5,1.39,1.17,2022-01-20,312,T,100,6.1NRT,319.66,1021.82,N
2393,-34.23025,-71.10762,321.37,1.39,1.17,2022-01-20,312,T,100,6.1NRT,285.03,29.91,N
2394,-34.21637,-71.07808,471.67,1.39,1.17,2022-01-20,312,T,100,6.1NRT,312.92,1674.3,N
2395,-34.21808,-71.09421,461.41,1.39,1.17,2022-01-20,312,T,100,6.1NRT,306.94,1411.84,N
2396,-34.21992,-71.11155,314.89,1.39,1.17,2022-01-20,312,T,65,6.1NRT,285.28,20.97,N
2397,-34.2216,-71.12743,310.99,1.4,1.17,2022-01-20,312,T,56,6.1NRT,284.83,17.89,N
2398,-34.10776,-70.45723000000001,314.7,1.28,1.12,2022-01-20,312,T,90,6.1NRT,285.46,22.06,N
2399,-34.1105,-70.46333,307.83,1.28,1.12,2022-01-20,312,T,73,6.1NRT,285.05,15.64,N
2417,-23.82714,-70.31486,303.04,1.03,1.01,2022-01-20,314,T,53,6.1NRT,289.54,7.42,N
