,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
729,-23.78417,-70.3207,299.23,0.5,0.41,2022-07-16,533,1,nominal,2.0NRT,275.74,0.87,N
730,-23.8247,-70.31673,333.63,0.49,0.41,2022-07-16,533,1,nominal,2.0NRT,281.11,5.24,N
789,-32.80209,-70.95303,309.92,0.41,0.37,2022-07-16,538,1,nominal,2.0NRT,275.88,1.48,N
790,-32.75946,-71.47639000000001,326.48,0.43,0.38,2022-07-16,538,1,nominal,2.0NRT,276.95,2.83,N
791,-33.2957,-70.73017,306.45,0.4,0.37,2022-07-16,538,1,nominal,2.0NRT,273.13,0.77,N
792,-33.66002,-70.82426,326.57,0.4,0.37,2022-07-16,538,1,nominal,2.0NRT,275.2,2.0,N
793,-33.660270000000004,-70.82164,327.27,0.4,0.37,2022-07-16,538,1,nominal,2.0NRT,275.26,3.23,N
794,-36.74472,-73.1246,311.74,0.44,0.38,2022-07-16,538,1,nominal,2.0NRT,275.37,0.99,N
795,-36.78374,-73.12751,300.09,0.44,0.38,2022-07-16,538,1,nominal,2.0NRT,275.53,0.49,N
4006,-17.17613,-70.95146,299.34,0.46,0.64,2022-07-17,514,1,nominal,2.0NRT,279.78,0.86,N
4007,-17.177039999999998,-70.9472,299.46,0.46,0.64,2022-07-17,514,1,nominal,2.0NRT,279.48,0.86,N
4008,-17.17539,-70.95049,305.32,0.46,0.64,2022-07-17,514,1,nominal,2.0NRT,279.97,1.89,N
4038,-23.7839,-70.32151,298.19,0.62,0.54,2022-07-17,516,1,nominal,2.0NRT,273.46,0.95,N
4039,-23.8209,-70.3177,316.69,0.62,0.54,2022-07-17,516,1,nominal,2.0NRT,279.65,2.8,N
4054,-27.41078,-70.25992,300.04,0.52,0.5,2022-07-17,516,1,nominal,2.0NRT,276.06,2.11,N
4055,-27.420990000000003,-70.25703,308.35,0.52,0.5,2022-07-17,516,1,nominal,2.0NRT,277.11,1.48,N
5501,-23.826710000000002,-70.31515999999999,353.93,0.36,0.57,2022-07-17,1743,1,nominal,2.0NRT,304.23,3.95,D
5502,-23.82214,-70.31519,344.47,0.36,0.57,2022-07-17,1743,1,nominal,2.0NRT,302.08,4.54,D
6925,-33.660940000000004,-70.82352,318.82,0.38,0.59,2022-07-18,459,1,nominal,2.0NRT,263.34,0.9,N
6926,-33.65772,-70.82,313.89,0.38,0.58,2022-07-18,459,1,nominal,2.0NRT,264.06,0.95,N
6927,-34.1016,-70.45568,304.02,0.35,0.57,2022-07-18,459,1,nominal,2.0NRT,271.23,1.09,N
6928,-34.10633,-70.45904,367.0,0.35,0.57,2022-07-18,459,1,high,2.0NRT,275.16,8.36,N
6929,-34.1073,-70.4552,295.59,0.35,0.57,2022-07-18,459,1,nominal,2.0NRT,272.5,5.06,N
6931,-35.00029,-72.13183000000001,311.53,0.41,0.61,2022-07-18,459,1,nominal,2.0NRT,278.91,1.21,N
6936,-39.7896,-73.19660999999999,305.02,0.35,0.57,2022-07-18,501,1,nominal,2.0NRT,273.34,0.68,N
6937,-46.431259999999995,-71.24941,335.59,0.39,0.44,2022-07-18,504,1,nominal,2.0NRT,278.9,6.86,N
6938,-46.4301,-71.25445,295.46,0.39,0.44,2022-07-18,504,1,nominal,2.0NRT,272.2,6.86,N
6945,-23.78193,-70.32079,304.41,0.49,0.65,2022-07-18,637,1,nominal,2.0NRT,275.81,1.53,N
6946,-27.41602,-70.2591,312.16,0.53,0.67,2022-07-18,637,1,nominal,2.0NRT,281.33,1.86,N
6947,-27.413529999999998,-70.25993000000001,307.09,0.53,0.67,2022-07-18,637,1,nominal,2.0NRT,279.66,2.03,N
6948,-34.1063,-70.46248,314.04,0.59,0.7,2022-07-18,640,1,nominal,2.0NRT,272.23,4.62,N
6949,-34.10653,-70.45664000000001,316.01,0.59,0.7,2022-07-18,640,1,nominal,2.0NRT,273.83,5.33,N
6950,-36.7454,-73.12665,306.48,0.43,0.62,2022-07-18,640,1,nominal,2.0NRT,272.39,1.88,N
7059,-46.43269,-71.25314,329.17,0.61,0.71,2022-07-18,644,1,nominal,2.0NRT,273.44,4.32,N
7060,-46.42884,-71.25088000000001,325.9,0.61,0.71,2022-07-18,644,1,nominal,2.0NRT,274.77,4.61,N
7856,-19.01034,-69.86214,367.0,0.6,0.71,2022-07-18,1726,1,high,2.0NRT,296.87,34.58,D
7857,-19.01071,-69.86211999999999,367.0,0.6,0.71,2022-07-18,1726,1,high,2.0NRT,296.19,53.29,D
9572,-19.01527,-69.86433000000001,367.0,0.56,0.69,2022-07-18,1906,1,high,2.0NRT,301.5,33.94,D
9573,-19.0167,-69.87056,341.88,0.56,0.69,2022-07-18,1906,1,nominal,2.0NRT,310.11,33.94,D
9574,-19.009729999999998,-69.869,367.0,0.56,0.69,2022-07-18,1906,1,high,2.0NRT,298.28,14.62,D
9606,-36.746359999999996,-73.12652,332.43,0.49,0.4,2022-07-18,1902,1,nominal,2.0NRT,287.65,6.52,D
9651,-27.41674,-70.25657,367.0,0.35,0.57,2022-07-18,1904,1,high,2.0NRT,300.13,8.17,D
10655,-33.65611,-70.82481,312.08,0.68,0.74,2022-07-19,440,1,nominal,2.0NRT,276.06,3.12,N
10656,-34.10244,-70.45212,320.65,0.63,0.72,2022-07-19,442,1,nominal,2.0NRT,276.03,6.26,N
10831,-23.825860000000002,-70.31652,306.1,0.48,0.48,2022-07-19,618,1,nominal,2.0NRT,280.51,2.32,N
10832,-23.82394,-70.31895,301.78,0.48,0.48,2022-07-19,618,1,nominal,2.0NRT,279.83,1.81,N
10833,-23.82447,-70.31405,311.37,0.48,0.48,2022-07-19,618,1,nominal,2.0NRT,279.27,1.63,N
10847,-32.76192,-71.48051,321.93,0.52,0.5,2022-07-19,622,1,nominal,2.0NRT,279.81,2.54,N
10848,-32.75995,-71.48116,313.96,0.52,0.5,2022-07-19,622,1,nominal,2.0NRT,279.42,2.28,N
10849,-34.10374,-70.45971,336.34,0.62,0.54,2022-07-19,622,1,nominal,2.0NRT,273.9,6.13,N
10850,-34.1088,-70.45957,327.93,0.62,0.54,2022-07-19,622,1,nominal,2.0NRT,274.66,4.76,N
10851,-34.10335,-70.4593,336.23,0.62,0.54,2022-07-19,622,1,nominal,2.0NRT,273.27,6.85,N
10852,-34.10841,-70.4591,335.84,0.62,0.54,2022-07-19,622,1,nominal,2.0NRT,275.24,6.85,N
10853,-34.108909999999995,-70.45241,295.24,0.62,0.54,2022-07-19,622,1,nominal,2.0NRT,275.24,6.85,N
10854,-36.74385,-73.12675,303.93,0.47,0.48,2022-07-19,622,1,nominal,2.0NRT,275.49,1.27,N
10855,-36.78291,-73.12881,295.8,0.47,0.48,2022-07-19,622,1,nominal,2.0NRT,275.24,1.1,N
13645,-36.737120000000004,-73.12262,331.98,0.38,0.36,2022-07-19,1841,1,nominal,2.0NRT,287.27,2.73,D
15132,-23.82508,-70.31658,295.02,0.42,0.37,2022-07-20,559,1,nominal,2.0NRT,281.89,0.8,N
15227,-27.358140000000002,-70.22185,298.14,0.45,0.39,2022-07-20,559,1,nominal,2.0NRT,281.18,0.66,N
15254,-32.80226,-70.95164,310.82,0.47,0.4,2022-07-20,601,1,nominal,2.0NRT,279.1,1.77,N
15257,-33.65948,-70.82133,311.83,0.49,0.4,2022-07-20,601,1,nominal,2.0NRT,276.2,1.25,N
15258,-34.10609,-70.4565,327.2,0.52,0.41,2022-07-20,601,1,nominal,2.0NRT,277.47,4.53,N
15259,-34.10431,-70.4579,326.18,0.52,0.41,2022-07-20,601,1,nominal,2.0NRT,276.06,3.64,N
15260,-34.7039,-70.84871,303.38,0.5,0.41,2022-07-20,601,1,nominal,2.0NRT,272.02,1.37,N
15261,-34.70391,-70.84489,304.0,0.5,0.41,2022-07-20,601,1,nominal,2.0NRT,273.12,1.07,N
18298,-35.58815,-69.51419,367.0,0.39,0.36,2022-07-20,1824,1,high,2.0NRT,298.08,7.39,D
18299,-35.588770000000004,-69.51849,326.2,0.39,0.36,2022-07-20,1824,1,nominal,2.0NRT,293.82,2.87,D
18300,-35.58482,-69.51491,326.71,0.39,0.36,2022-07-20,1824,1,nominal,2.0NRT,294.24,7.39,D
18329,-34.890879999999996,-72.16775,329.09,0.45,0.39,2022-07-20,1824,1,nominal,2.0NRT,291.88,9.61,D
18356,-32.80441,-70.95103,330.81,0.4,0.37,2022-07-20,1826,1,nominal,2.0NRT,295.65,3.09,D
18358,-32.423140000000004,-70.99175,333.93,0.4,0.37,2022-07-20,1826,1,nominal,2.0NRT,292.63,2.44,D
19600,-32.80148,-70.95289,320.04,0.39,0.36,2022-07-21,544,1,nominal,2.0NRT,280.33,2.2,N
19601,-32.75982,-71.47878,309.68,0.39,0.36,2022-07-21,544,1,nominal,2.0NRT,279.91,1.21,N
19603,-34.032509999999995,-70.6131,295.93,0.38,0.36,2022-07-21,544,1,nominal,2.0NRT,276.69,0.6,N
19604,-34.02731,-70.6679,313.01,0.38,0.36,2022-07-21,544,1,nominal,2.0NRT,273.73,1.23,N
19605,-34.10488,-70.45730999999999,340.82,0.38,0.36,2022-07-21,544,1,nominal,2.0NRT,278.85,14.96,N
19606,-34.10552,-70.45315,302.86,0.38,0.36,2022-07-21,544,1,nominal,2.0NRT,274.7,1.42,N
19607,-34.90613,-71.90217,314.25,0.39,0.36,2022-07-21,544,1,nominal,2.0NRT,278.47,1.54,N
22398,-50.79101,-70.78622,336.6,0.61,0.54,2022-07-21,1802,1,nominal,2.0NRT,273.37,5.28,D
22468,-32.6139,-71.37817,334.0,0.43,0.46,2022-07-21,1806,1,nominal,2.0NRT,290.76,2.44,D
22614,-27.415779999999998,-70.25752,332.17,0.49,0.41,2022-07-21,1809,1,nominal,2.0NRT,298.52,2.85,D
25232,-23.82183,-70.31891999999999,296.57,0.5,0.49,2022-07-22,523,1,nominal,2.0NRT,280.98,1.21,N
25309,-32.80336,-70.95494000000001,298.4,0.55,0.43,2022-07-22,523,1,nominal,2.0NRT,278.93,1.25,N
25312,-34.10454,-70.45567,334.37,0.5,0.41,2022-07-22,523,1,nominal,2.0NRT,277.68,6.01,N
