,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
95,-38.25248,-73.34625,305.17,1.05,1.02,2021-12-31,336,T,63,6.1NRT,281.1,10.24,N
96,-38.24326,-73.34846999999999,307.63,1.05,1.02,2021-12-31,336,T,72,6.1NRT,281.49,11.87,N
97,-34.10733,-70.4597,316.72,1.1,1.05,2021-12-31,336,T,94,6.1NRT,287.96,19.71,N
102,-23.55593,-70.38306,302.9,1.62,1.25,2021-12-31,338,T,52,6.1NRT,289.46,13.93,N
352,-38.44188,-71.8894,311.43,1.03,1.01,2021-12-31,1439,T,49,6.1NRT,297.82,5.91,D
353,-39.280770000000004,-71.96356,309.82,1.02,1.01,2021-12-31,1439,T,45,6.1NRT,296.07,5.89,D
427,-27.003020000000003,-69.86747,330.56,1.13,1.06,2021-12-31,1437,T,73,6.1NRT,312.73,12.0,D
428,-27.00788,-69.86274,328.07,1.13,1.06,2021-12-31,1437,T,65,6.1NRT,313.52,10.6,D
457,-32.79985,-70.95331,321.01,1.08,1.04,2021-12-31,1439,T,56,6.1NRT,307.42,6.84,D
458,-34.10651,-70.46285999999999,328.2,1.03,1.01,2021-12-31,1439,T,73,6.1NRT,312.12,10.88,D
459,-34.10824,-70.45174,332.17,1.03,1.01,2021-12-31,1439,T,80,6.1NRT,311.96,16.82,D
460,-34.29421,-71.18644,334.15,1.07,1.03,2021-12-31,1439,T,83,6.1NRT,304.44,29.89,D
461,-34.29596,-71.1757,326.8,1.06,1.03,2021-12-31,1439,T,74,6.1NRT,304.83,18.37,D
463,-35.769709999999996,-71.65736,343.15,1.07,1.03,2021-12-31,1439,T,91,6.1NRT,303.15,47.54,D
464,-36.42517,-71.9607,314.61,1.07,1.03,2021-12-31,1439,T,31,6.1NRT,301.29,4.59,D
465,-36.74712,-72.99548,310.32,1.15,1.07,2021-12-31,1439,T,26,6.1NRT,299.99,7.99,D
466,-37.087959999999995,-72.42976,313.96,1.09,1.04,2021-12-31,1439,T,39,6.1NRT,301.97,5.99,D
467,-37.17627,-72.947,314.55,1.13,1.06,2021-12-31,1439,T,38,6.1NRT,302.45,8.58,D
468,-37.480140000000006,-73.3361,312.49,1.16,1.07,2021-12-31,1439,T,45,6.1NRT,297.73,8.18,D
469,-37.61115,-73.649,309.97,1.19,1.09,2021-12-31,1439,T,35,6.1NRT,296.36,8.07,D
470,-37.64613,-73.44884,318.38,1.17,1.08,2021-12-31,1439,T,60,6.1NRT,294.59,14.88,D
471,-37.655770000000004,-73.45148,315.98,1.17,1.08,2021-12-31,1439,T,68,6.1NRT,290.24,13.14,D
472,-37.95432,-72.43632,313.94,1.07,1.03,2021-12-31,1439,T,56,6.1NRT,300.4,7.45,D
473,-37.956340000000004,-72.42416999999999,314.22,1.07,1.03,2021-12-31,1439,T,66,6.1NRT,301.15,8.28,D
474,-38.25115,-72.67299,313.72,1.08,1.04,2021-12-31,1439,T,44,6.1NRT,300.73,6.24,D
824,-38.27361,-70.40187,325.47,1.31,1.14,2021-12-31,1900,A,64,6.1NRT,312.18,12.15,D
825,-38.25734,-73.34141,318.19,1.03,1.02,2021-12-31,1902,A,53,6.1NRT,292.66,13.75,D
826,-38.2482,-73.34361,319.04,1.03,1.02,2021-12-31,1902,A,71,6.1NRT,291.68,14.44,D
827,-38.25006,-73.3554,314.24,1.03,1.02,2021-12-31,1902,A,48,6.1NRT,290.74,10.13,D
828,-36.42371,-71.95956,321.45,1.2,1.09,2021-12-31,1902,A,52,6.1NRT,309.29,7.93,D
829,-34.29481,-70.62113000000001,327.06,1.53,1.22,2021-12-31,1902,A,60,6.1NRT,310.0,17.51,D
830,-34.29773,-70.63658000000001,344.42,1.52,1.22,2021-12-31,1902,A,89,6.1NRT,315.83,65.75,D
831,-34.29728,-71.18788,326.58,1.42,1.18,2021-12-31,1902,A,66,6.1NRT,307.73,22.34,D
844,-34.30552,-71.20071,303.35,4.41,1.93,2022-01-01,242,T,55,6.1NRT,285.85,61.32,N
845,-34.2879,-71.2025,304.42,4.41,1.93,2022-01-01,242,T,60,6.1NRT,285.31,67.76,N
846,-34.28817,-71.20959,304.38,4.41,1.93,2022-01-01,242,T,60,6.1NRT,285.12,68.8,N
1126,-17.488770000000002,-71.35413,314.14,1.22,1.1,2022-01-01,559,A,89,6.1NRT,288.53,19.97,N
1132,-23.81955,-70.31161,304.41,1.0,1.0,2022-01-01,601,A,60,6.1NRT,287.29,8.85,N
1134,-34.10606,-70.45233,317.72,1.08,1.04,2022-01-01,603,A,96,6.1NRT,284.96,21.35,N
1272,-35.598490000000005,-71.71822,312.42,2.51,1.52,2022-01-01,1522,T,39,6.1NRT,299.42,19.18,D
1273,-35.849090000000004,-71.59048,312.75,2.57,1.54,2022-01-01,1522,T,50,6.1NRT,298.18,18.66,D
2248,-23.82143,-70.31734,311.94,1.09,1.04,2022-01-02,327,T,84,6.1NRT,287.85,15.3,N
2254,-17.49346,-71.35233000000001,302.34,1.15,1.07,2022-01-02,329,T,48,6.1NRT,289.38,7.47,N
2319,-34.10645,-70.45254,320.4,1.01,1.01,2022-01-02,323,T,100,6.1NRT,286.43,21.23,N
2320,-34.10794,-70.46358000000001,323.46,1.01,1.01,2022-01-02,323,T,100,6.1NRT,286.16,24.25,N
2604,-33.10263,-70.63129,331.01,1.43,1.18,2022-01-02,1426,T,71,6.1NRT,313.84,18.26,D
2605,-33.10733,-70.66573000000001,335.82,1.44,1.19,2022-01-02,1426,T,83,6.1NRT,313.39,26.55,D
2613,-34.10641,-70.4557,338.11,1.35,1.15,2022-01-02,1426,T,86,6.1NRT,311.14,38.4,D
2630,-45.58331,-72.05337,302.76,1.07,1.03,2022-01-02,1429,T,28,6.1NRT,283.89,5.7,D
2923,-29.151809999999998,-70.8769,336.61,1.23,1.1,2022-01-02,1851,A,81,6.1NRT,316.65,16.6,D
3165,-32.75447,-71.47069,302.02,1.11,1.05,2022-01-03,552,A,46,6.1NRT,284.8,8.68,N
3166,-34.09966,-70.45456999999999,309.17,1.02,1.01,2022-01-03,552,A,77,6.1NRT,284.5,12.18,N
3265,-34.10617,-70.44991999999999,322.99,1.84,1.33,2022-01-03,1509,T,41,6.1NRT,305.41,20.96,D
