,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
376,-32.75731,-71.47443,304.21,1.28,1.12,2021-12-30,614,A,59,6.1NRT,284.87,12.91,N
377,-34.101820000000004,-70.45170999999999,307.51,1.51,1.21,2021-12-30,616,A,72,6.1NRT,285.11,20.38,N
378,-41.47197,-71.69263000000001,303.63,1.59,1.24,2021-12-30,616,A,56,6.1NRT,281.89,21.74,N
918,-36.614540000000005,-72.09415,312.28,3.82,1.83,2021-12-30,1535,T,45,6.1NRT,296.81,30.33,D
919,-36.63123,-72.09513000000001,312.08,3.82,1.83,2021-12-30,1535,T,27,6.1NRT,298.58,28.81,D
920,-36.61931,-72.10186999999999,312.02,3.82,1.83,2021-12-30,1535,T,45,6.1NRT,296.56,29.56,D
1014,-34.10692,-70.46198000000001,328.54,1.55,1.23,2021-12-30,1819,A,66,6.1NRT,315.67,16.18,D
1423,-38.25248,-73.34625,305.17,1.05,1.02,2021-12-31,336,T,63,6.1NRT,281.1,10.24,N
1424,-38.24326,-73.34846999999999,307.63,1.05,1.02,2021-12-31,336,T,72,6.1NRT,281.49,11.87,N
1425,-34.10733,-70.4597,316.72,1.1,1.05,2021-12-31,336,T,94,6.1NRT,287.96,19.71,N
1430,-23.55593,-70.38306,302.9,1.62,1.25,2021-12-31,338,T,52,6.1NRT,289.46,13.93,N
1680,-38.44188,-71.8894,311.43,1.03,1.01,2021-12-31,1439,T,49,6.1NRT,297.82,5.91,D
1681,-39.280770000000004,-71.96356,309.82,1.02,1.01,2021-12-31,1439,T,45,6.1NRT,296.07,5.89,D
1755,-27.003020000000003,-69.86747,330.56,1.13,1.06,2021-12-31,1437,T,73,6.1NRT,312.73,12.0,D
1756,-27.00788,-69.86274,328.07,1.13,1.06,2021-12-31,1437,T,65,6.1NRT,313.52,10.6,D
1785,-32.79985,-70.95331,321.01,1.08,1.04,2021-12-31,1439,T,56,6.1NRT,307.42,6.84,D
1786,-34.10651,-70.46285999999999,328.2,1.03,1.01,2021-12-31,1439,T,73,6.1NRT,312.12,10.88,D
1787,-34.10824,-70.45174,332.17,1.03,1.01,2021-12-31,1439,T,80,6.1NRT,311.96,16.82,D
1788,-34.29421,-71.18644,334.15,1.07,1.03,2021-12-31,1439,T,83,6.1NRT,304.44,29.89,D
1789,-34.29596,-71.1757,326.8,1.06,1.03,2021-12-31,1439,T,74,6.1NRT,304.83,18.37,D
1791,-35.769709999999996,-71.65736,343.15,1.07,1.03,2021-12-31,1439,T,91,6.1NRT,303.15,47.54,D
1792,-36.42517,-71.9607,314.61,1.07,1.03,2021-12-31,1439,T,31,6.1NRT,301.29,4.59,D
1793,-36.74712,-72.99548,310.32,1.15,1.07,2021-12-31,1439,T,26,6.1NRT,299.99,7.99,D
1794,-37.087959999999995,-72.42976,313.96,1.09,1.04,2021-12-31,1439,T,39,6.1NRT,301.97,5.99,D
1795,-37.17627,-72.947,314.55,1.13,1.06,2021-12-31,1439,T,38,6.1NRT,302.45,8.58,D
1796,-37.480140000000006,-73.3361,312.49,1.16,1.07,2021-12-31,1439,T,45,6.1NRT,297.73,8.18,D
1797,-37.61115,-73.649,309.97,1.19,1.09,2021-12-31,1439,T,35,6.1NRT,296.36,8.07,D
1798,-37.64613,-73.44884,318.38,1.17,1.08,2021-12-31,1439,T,60,6.1NRT,294.59,14.88,D
1799,-37.655770000000004,-73.45148,315.98,1.17,1.08,2021-12-31,1439,T,68,6.1NRT,290.24,13.14,D
1800,-37.95432,-72.43632,313.94,1.07,1.03,2021-12-31,1439,T,56,6.1NRT,300.4,7.45,D
1801,-37.956340000000004,-72.42416999999999,314.22,1.07,1.03,2021-12-31,1439,T,66,6.1NRT,301.15,8.28,D
1802,-38.25115,-72.67299,313.72,1.08,1.04,2021-12-31,1439,T,44,6.1NRT,300.73,6.24,D
2152,-38.27361,-70.40187,325.47,1.31,1.14,2021-12-31,1900,A,64,6.1NRT,312.18,12.15,D
2153,-38.25734,-73.34141,318.19,1.03,1.02,2021-12-31,1902,A,53,6.1NRT,292.66,13.75,D
2154,-38.2482,-73.34361,319.04,1.03,1.02,2021-12-31,1902,A,71,6.1NRT,291.68,14.44,D
2155,-38.25006,-73.3554,314.24,1.03,1.02,2021-12-31,1902,A,48,6.1NRT,290.74,10.13,D
2156,-36.42371,-71.95956,321.45,1.2,1.09,2021-12-31,1902,A,52,6.1NRT,309.29,7.93,D
2157,-34.29481,-70.62113000000001,327.06,1.53,1.22,2021-12-31,1902,A,60,6.1NRT,310.0,17.51,D
2158,-34.29773,-70.63658000000001,344.42,1.52,1.22,2021-12-31,1902,A,89,6.1NRT,315.83,65.75,D
2159,-34.29728,-71.18788,326.58,1.42,1.18,2021-12-31,1902,A,66,6.1NRT,307.73,22.34,D
2172,-34.30552,-71.20071,303.35,4.41,1.93,2022-01-01,242,T,55,6.1NRT,285.85,61.32,N
2173,-34.2879,-71.2025,304.42,4.41,1.93,2022-01-01,242,T,60,6.1NRT,285.31,67.76,N
