,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
443,-34.10641,-70.46234,305.03,1.1,1.05,2022-04-06,334,T,63,6.1NRT,283.6,10.67,N
872,-32.75819,-71.46733,308.64,2.43,1.5,2022-04-07,1518,T,18,6.1NRT,294.84,15.32,D
873,-32.764790000000005,-71.47489,308.88,2.43,1.5,2022-04-07,1518,T,0,6.1NRT,293.91,16.21,D
874,-34.108990000000006,-70.4534,310.02,2.94,1.63,2022-04-07,1518,T,47,6.1NRT,297.98,22.91,D
994,-37.46324,-72.37613,305.98,2.4,1.49,2022-04-07,1520,T,40,6.1NRT,292.33,10.84,D
1054,-38.54984,-72.56004,306.49,1.28,1.12,2022-04-08,321,T,68,6.1NRT,284.15,14.65,N
1055,-38.551429999999996,-72.57486999999999,304.28,1.29,1.13,2022-04-08,321,T,59,6.1NRT,283.83,12.57,N
1056,-38.539640000000006,-72.5619,345.93,1.28,1.12,2022-04-08,321,T,100,6.1NRT,285.02,81.48,N
1057,-38.5412,-72.57661,324.79,1.29,1.13,2022-04-08,321,T,100,6.1NRT,284.28,36.04,N
1058,-35.70682,-71.70843,301.96,1.1,1.05,2022-04-08,321,T,40,6.1NRT,285.81,7.5,N
1059,-35.70831,-71.72073,315.69,1.11,1.05,2022-04-08,321,T,92,6.1NRT,285.35,18.4,N
1060,-35.69882,-71.72249000000001,306.0,1.11,1.05,2022-04-08,321,T,66,6.1NRT,284.79,10.51,N
1061,-34.10755,-70.45089,302.38,1.01,1.0,2022-04-08,321,T,49,6.1NRT,283.68,8.15,N
1062,-34.10905,-70.46188000000001,312.6,1.01,1.0,2022-04-08,321,T,85,6.1NRT,283.75,14.89,N
1063,-27.414479999999998,-70.26151999999999,307.65,1.03,1.02,2022-04-08,323,T,72,6.1NRT,287.16,10.4,N
1288,-34.10917,-70.45688,315.91,1.34,1.15,2022-04-08,1425,T,71,6.1NRT,301.42,12.29,D
1289,-36.2361,-70.67374000000001,308.65,1.27,1.12,2022-04-08,1425,T,55,6.1NRT,288.24,9.23,D
1292,-40.382870000000004,-73.18200999999999,304.75,1.41,1.18,2022-04-08,1425,T,60,6.1NRT,287.95,10.83,D
2030,-34.10923,-70.46851,308.12,1.85,1.33,2022-04-09,1507,T,48,6.1NRT,294.96,11.14,D
2031,-34.111,-70.44946999999999,314.17,1.85,1.33,2022-04-09,1507,T,70,6.1NRT,294.78,22.88,D
2032,-37.08065,-71.94999,305.18,1.63,1.26,2022-04-09,1507,T,50,6.1NRT,290.15,9.22,D
2033,-37.28743,-71.18903,336.69,1.82,1.32,2022-04-09,1507,T,90,6.1NRT,289.65,91.57,D
2034,-37.28944,-71.16637,328.03,1.83,1.32,2022-04-09,1507,T,85,6.1NRT,289.77,63.2,D
2035,-37.29943,-71.19057,303.28,1.82,1.32,2022-04-09,1507,T,41,6.1NRT,285.5,13.13,D
2036,-37.3014,-71.16859000000001,304.75,1.83,1.32,2022-04-09,1507,T,52,6.1NRT,287.62,14.89,D
2948,-29.12835,-70.89957,324.07,1.06,1.03,2022-04-11,1452,T,81,6.1NRT,304.11,12.34,D
2949,-29.129820000000002,-70.88866,325.39,1.06,1.03,2022-04-11,1452,T,82,6.1NRT,303.76,14.36,D
2951,-32.798790000000004,-70.95458,309.53,1.13,1.06,2022-04-11,1454,T,54,6.1NRT,295.5,5.78,D
2952,-33.10552,-70.8502,317.66,1.15,1.07,2022-04-11,1454,T,65,6.1NRT,303.1,9.84,D
2953,-35.596759999999996,-71.72407,300.78,1.12,1.06,2022-04-11,1454,T,27,6.1NRT,287.1,3.15,D
