,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
2192,-23.826970000000003,-70.32034,315.41,1.21,1.09,2022-07-11,1847,A,62,6.1NRT,304.45,7.96,D
3455,-32.80632,-70.95248000000001,300.66,1.01,1.01,2022-07-13,319,T,32,6.1NRT,277.0,8.66,N
5802,-17.4911,-71.35629,304.13,1.01,1.0,2022-07-15,313,T,59,6.1NRT,283.61,9.56,N
5818,-27.41422,-70.26284,316.71,1.07,1.03,2022-07-15,308,T,94,6.1NRT,279.69,20.88,N
6974,-32.71783,-70.72035,300.29,1.16,1.07,2022-07-16,1450,T,34,6.1NRT,279.73,8.02,D
7022,-23.824379999999998,-70.31394,313.57,1.02,1.01,2022-07-16,1448,T,69,6.1NRT,298.11,8.16,D
